Index,Class,Fold_Change,Log2FC,Type,
IAA,Auxin,0,-14.61967106,down,
TRP,Auxin,8.313829444,3.055513152,up,
Indole,Auxin,6.62823512,2.728624779,up,
BAP,CK-BA,0.32916467,-1.6031186,down,
iP7G,CK-IP,0.407537377,-1.294995713,down,
mTR,CK-Topolin,Inf,9.153556832,up,
oT,CK-Topolin,Inf,8.906903208,up,
DHZ7G,CK-Zeatin,0.264963593,-1.916133953,down,
DHZROG,CK-Zeatin,0,-12.75224655,down,
2MeScZR,CK-Zeatin,2.833084261,1.502373511,up,
DHZR,CK-Zeatin,6.722176046,2.748928326,up,
tZOG,CK-Zeatin,0,-16.78017133,down,
tZRMP,CK-Zeatin,0,-12.42886579,down,
SAG,SA,14.57236178,3.865162812,up,
SA,SA,19.41210872,4.27888494,up,
